DNI         NOMBRE Y APELLIDOS            ASEGURADORA         CÓDIGO       INICIO DE LA POLIZA    FIN DE LA POLIZA     MONTO        EDAD
-----------------------------------------------------------------------------------------------------------------------------------------
73035996    GABRIELA GOMEZ SILVA          Sanitas Peru        UIY614       08/12/2024             28/11/2026           12245.830    58 
36277341    MIGUEL VARGAS CRUZ            Mapfre Peru         BXT274       02/11/2024             01/05/2025           1465.480     51 
11839489    PEDRO FLORES RAMIREZ          La Positiva         PEP894       05/08/2025             01/02/2026           11252.030    42 
33368501    FERNANDO ROJAS VEGA           Pacifico Seguros    AST004       30/08/2024             26/02/2025           1161.010     26 
81489486    LUIS SANCHEZ PEREZ            Sanitas Peru        YEY237       07/01/2025             02/01/2026           12832.860    47 
26016998    RICARDO RIVERA GOMEZ          Rimac Seguros       FNX008       23/10/2025             13/10/2027           13915.300    67 
75020959    CARLOS ORTIZ REYES            Sanitas Peru        FKP567       27/11/2023             25/05/2024           848.190      70 
16258938    CARMEN ORTIZ REYES            La Positiva         XCD341       12/04/2022             01/04/2024           11849.760    19 
40162813    CARMEN RAMIREZ JIMENEZ        Protecta Security   MOR350       24/02/2026             08/02/2029           1653.940     60 
80480143    GABRIELA RAMIREZ MARTINEZ     Rimac Seguros       GOL861       13/05/2026             27/04/2029           8699.460     38 
30760728    PATRICIA PEREZ RAMIREZ        Rimac Seguros       HBE081       30/04/2023             27/10/2023           10734.640    44 
24975004    CARLOS RIVERA CASTILLO        Rimac Seguros       SDL069       02/02/2023             22/01/2025           10016.550    35 
20664095    JUAN SANCHEZ RAMIREZ          Interseguro         QAI818       14/02/2023             29/01/2026           1097.730     70 
30220612    CLAUDIA PEREZ CASTILLO        Mapfre Peru         VHB674       24/01/2024             22/07/2024           6599.000     37 
95728261    TERESA REYES SILVA            Insur Vida          CSB123       28/12/2025             12/12/2028           6671.570     46 
80676993    FERNANDO TORRES FLORES        Mapfre Peru         NZP988       17/06/2024             02/06/2027           12919.040    23 
99747669    SOFIA SILVA VEGA              Rimac Seguros       PRC791       19/05/2025             03/05/2028           10762.640    25 
75758514    CARLOS ORTIZ ROJAS            Insur Vida          VLO647       28/01/2026             27/07/2026           7918.390     75 
49146357    PEDRO RODRIGUEZ CASTILLO      La Positiva         MMQ103       08/07/2022             04/01/2023           11288.100    45 
59160689    ALBERTO SANCHEZ DIAZ          Rimac Seguros       OSS866       23/01/2026             13/01/2028           10227.760    74 
43756795    CLAUDIA DIAZ GONZALEZ         Insur Vida          QVF262       24/03/2022             13/03/2024           3327.850     72 
30080823    BEATRIZ LOPEZ RAMIREZ         Sanitas Peru        IGW274       22/09/2022             21/03/2023           7740.530     52 
92606611    ELENA SANCHEZ VARGAS          Sanitas Peru        PNM011       23/12/2022             21/06/2023           9092.330     45 
65547612    JUAN RAMIREZ VEGA             Pacifico Seguros    SCV716       22/05/2022             18/11/2022           10902.180    18 
27471810    LUIS SANCHEZ GARCIA           Mapfre Peru         RAD257       14/02/2026             04/02/2028           358.230      50 
45330949    FERNANDO REYES GARCIA         La Positiva         VNQ538       03/08/2026             18/07/2029           11577.060    35 
81371810    JOSE AGUILAR NUNEZ            Rimac Seguros       SKV187       09/09/2022             04/09/2023           8934.410     39 
82314393    JUAN ROJAS REYES              Insur Vida          UKQ298       16/04/2022             11/04/2023           14180.750    53 
20645519    ALBERTO REYES ORTIZ           Mapfre Peru         YYL252       19/04/2022             08/04/2024           13945.020    74 
92574803    SILVIA MORALES ROJAS          Mapfre Peru         LVP856       08/08/2024             29/07/2026           6676.700     61 
11696420    DIEGO DIAZ ORTIZ              Protecta Security   BIP985       09/10/2024             07/04/2025           4849.430     48 
29797488    CARLOS MENDOZA GARCIA         Insur Vida          GWT179       30/04/2023             14/04/2026           4353.530     49 
22801387    CARLOS MEDINA ROJAS           La Positiva         YSY053       16/06/2025             11/06/2026           14651.680    45 
46501244    CARLOS NUNEZ MORALES          Protecta Security   PJF233       17/09/2025             01/09/2028           10329.150    46 
58097412    GABRIELA NUNEZ GARCIA         Sanitas Peru        KPU574       23/05/2025             18/05/2026           11823.080    55 
32685382    RAUL MEDINA RAMIREZ           Insur Vida          RJO517       12/11/2024             02/11/2026           5405.180     58 
37668140    ALBERTO RODRIGUEZ DIAZ        Protecta Security   JDP216       23/09/2024             08/09/2027           8359.430     50 
72391906    SOFIA CHAVEZ ORTIZ            Rimac Seguros       ARC528       27/08/2024             23/02/2025           7692.710     49 
57287596    GABRIELA VARGAS AGUILAR       Insur Vida          FMU010       15/05/2026             04/05/2028           286.680      43 
12303655    ANDRES VARGAS RODRIGUEZ       Protecta Security   JWW573       10/09/2023             08/03/2024           10973.060    55 
55249352    ALBERTO SILVA DIAZ            Interseguro         QTI703       08/08/2023             02/08/2024           2713.150     51 
22558210    ALBERTO NUNEZ REYES           Insur Vida          YCU295       11/02/2026             01/02/2028           6532.440     23 
90151749    SILVIA HERRERA LOPEZ          Insur Vida          WCW687       26/08/2025             10/08/2028           7665.240     23 
25707175    SOFIA CHAVEZ TORRES           Sanitas Peru        MGJ716       14/01/2026             13/07/2026           4701.660     39 
38325118    JUAN TORRES MARTINEZ          La Positiva         YGQ728       15/01/2025             05/01/2027           3136.210     20 
79749579    CARMEN DIAZ RODRIGUEZ         Interseguro         ULV408       01/04/2026             21/03/2028           9650.690     18 
32339777    MARIA JIMENEZ REYES           Mapfre Peru         TSE632       03/04/2024             19/03/2027           346.660      54 
98827233    ROSA GOMEZ GONZALEZ           La Positiva         TZT216       04/06/2024             30/05/2025           12442.830    55 
88540222    TERESA MENDOZA ORTIZ          Insur Vida          WWJ193       18/11/2024             03/11/2027           6508.510     55 
26724472    DIEGO CASTILLO LOPEZ          Sanitas Peru        TBF651       31/12/2023             15/12/2026           11548.330    51 
67963173    PATRICIA RAMIREZ TORRES       La Positiva         IZR485       19/08/2024             15/02/2025           6568.070     33 
47415385    CARMEN PEREZ MEDINA           Mapfre Peru         MZS792       16/01/2023             15/07/2023           1878.500     24 
32712476    JUAN RIVERA SILVA             Interseguro         DXN628       14/03/2023             26/02/2026           6220.130     41 
33206169    DIEGO ROJAS SILVA             Protecta Security   ENA269       16/01/2022             11/01/2023           6028.250     41 
11323061    JUAN MORALES RUIZ             Insur Vida          YBB048       21/08/2026             16/08/2027           7736.990     66 
40742217    ALBERTO HERRERA MORALES       Interseguro         KLI391       28/05/2023             22/05/2024           12239.580    37 
41913275    VICTOR RODRIGUEZ CHAVEZ       Interseguro         UKR017       31/01/2024             25/01/2025           2267.360     65 
54934880    ALBERTO CASTILLO CHAVEZ       Mapfre Peru         IJL575       21/08/2026             10/08/2028           12107.880    43 
31621859    BEATRIZ RIVERA MARTINEZ       Pacifico Seguros    NBZ784       31/07/2026             26/07/2027           5548.140     31 
68930808    TERESA CASTILLO GOMEZ         La Positiva         JPN842       13/03/2025             03/03/2027           10516.670    40 
70962516    ALBERTO NUNEZ JIMENEZ         Rimac Seguros       OGO628       06/11/2022             21/10/2025           11727.040    50 
33214639    DIEGO SANCHEZ NUNEZ           Insur Vida          ZEG118       01/08/2022             27/07/2023           8606.640     50 
61098865    LUCIA MORALES GARCIA          La Positiva         WZS350       22/01/2023             06/01/2026           7463.110     39 
98540846    LUIS REYES DIAZ               Interseguro         HJQ960       04/12/2022             23/11/2024           9368.810     66 
31565722    LUIS MENDOZA CHAVEZ           Protecta Security   KRG172       07/04/2022             02/04/2023           14833.200    62 
70881772    CARLOS RAMIREZ JIMENEZ        Interseguro         PRP632       02/06/2023             27/05/2024           7781.730     56 
12324681    ANA MORALES PEREZ             Mapfre Peru         KJU079       01/01/2026             30/06/2026           2201.830     51 
62939085    BEATRIZ JIMENEZ VARGAS        Mapfre Peru         DDI674       15/03/2026             04/03/2028           3658.410     25 
15388676    JUAN TORRES PEREZ             Interseguro         YDI672       01/01/2022             16/12/2024           2016.780     65 
28159978    SILVIA ORTIZ RODRIGUEZ        Protecta Security   TJH090       17/07/2023             01/07/2026           11443.170    57 
54650882    GABRIELA FLORES VEGA          Rimac Seguros       KAM350       22/10/2024             12/10/2026           10471.340    48 
73273453    LUCIA RODRIGUEZ LOPEZ         Pacifico Seguros    GFK786       20/12/2022             18/06/2023           10096.380    39 
88408331    FERNANDO GONZALEZ CRUZ        Protecta Security   KXD008       19/11/2024             14/11/2025           5111.590     52 
95988809    ANA SILVA CASTILLO            Protecta Security   ULZ425       10/05/2025             24/04/2028           7725.420     19 
63940262    MIGUEL VEGA SILVA             Rimac Seguros       AQJ126       15/04/2023             09/04/2024           13969.230    45 
93356517    MIGUEL ROJAS VARGAS           Mapfre Peru         TMH372       22/01/2022             17/01/2023           1890.830     68 
60979234    PATRICIA CASTILLO HERRERA     Mapfre Peru         XZD780       13/07/2026             27/06/2029           13084.800    30 
59011846    FERNANDO ORTIZ NUNEZ          Insur Vida          NAX345       01/01/2025             17/12/2027           10228.530    66 
42742487    MONICA ORTIZ CHAVEZ           Mapfre Peru         WWC049       07/07/2022             02/07/2023           5107.750     42 
99742547    PEDRO ROJAS VARGAS            Protecta Security   QVI985       16/02/2024             14/08/2024           7369.370     72 
93448169    RICARDO JIMENEZ DIAZ          Protecta Security   JUH066       14/01/2025             09/01/2026           5371.940     37 
66772780    TERESA RUIZ HERRERA           La Positiva         MGM210       18/08/2024             03/08/2027           12579.440    62 
37274124    JORGE ORTIZ CASTILLO          Rimac Seguros       BFL930       04/05/2026             31/10/2026           14295.400    72 
90791026    GABRIELA RIVERA TORRES        Rimac Seguros       MFZ590       27/10/2025             25/04/2026           2555.370     62 
70608328    TERESA SILVA MENDOZA          La Positiva         QRO680       29/09/2022             13/09/2025           14785.260    31 
37175711    VICTOR VARGAS GONZALEZ        Interseguro         ABU616       22/07/2022             17/07/2023           2747.710     41 
18111085    PEDRO CRUZ ORTIZ              Mapfre Peru         SFU900       16/02/2024             05/02/2026           13891.070    37 
71033205    SOFIA PEREZ SILVA             Protecta Security   YIX723       29/12/2025             19/12/2027           828.960      23 
84890225    PATRICIA RUIZ MARTINEZ        Protecta Security   HWF512       04/03/2026             27/02/2027           4570.160     47 
60406127    ALBERTO CASTILLO PEREZ        Insur Vida          PTJ788       23/08/2026             18/08/2027           12713.060    44 
15107486    RICARDO CHAVEZ MENDOZA        Mapfre Peru         QTK303       06/09/2022             05/03/2023           2065.430     36 
78667146    PEDRO REYES ROJAS             Sanitas Peru        JGB036       31/10/2023             15/10/2026           8297.390     45 
30723519    RAUL SANCHEZ MARTINEZ         Rimac Seguros       NGP567       08/08/2022             28/07/2024           12667.740    42 
42828773    ANA JIMENEZ REYES             Pacifico Seguros    KUU604       24/01/2024             18/01/2025           555.660      41 
37530885    SILVIA SILVA NUNEZ            Protecta Security   IXD207       26/06/2025             21/06/2026           11817.840    70 
73582281    RAUL CASTILLO CASTILLO        Rimac Seguros       ILY603       02/02/2025             23/01/2027           7054.900     54 
47409755    LUCIA GONZALEZ VARGAS         Protecta Security   SSM328       25/09/2025             20/09/2026           6409.180     69 
37705868    SILVIA JIMENEZ SANCHEZ        Sanitas Peru        CJS878       11/03/2024             24/02/2027           13021.570    70 
16346617    TERESA PEREZ TORRES           Mapfre Peru         ISB158       07/08/2025             03/02/2026           13892.580    32 
48677497    FERNANDO GARCIA JIMENEZ       Mapfre Peru         IUE003       23/07/2024             13/07/2026           6875.470     23 
76372567    RAUL CASTILLO TORRES          La Positiva         SGP262       01/10/2024             26/09/2025           10098.210    50 
45607282    RICARDO CASTILLO CHAVEZ       Insur Vida          YPP420       05/03/2026             23/02/2028           1737.070     36 
39917141    MONICA LOPEZ GOMEZ            Interseguro         PUL798       13/12/2025             27/11/2028           12185.020    60 
85887189    ROSA RUIZ SILVA               Sanitas Peru        BRV706       07/01/2025             23/12/2027           10831.910    44 
81776199    JUAN AGUILAR CHAVEZ           Insur Vida          VJP556       28/04/2024             25/10/2024           9514.430     41 
52000097    BEATRIZ CRUZ LOPEZ            Sanitas Peru        AEK990       22/10/2022             06/10/2025           5853.510     62 
61140015    PATRICIA ROJAS RAMIREZ        Mapfre Peru         ZKW585       31/10/2025             29/04/2026           8467.200     73 
46708065    TERESA HERRERA ORTIZ          Rimac Seguros       VAH853       28/11/2024             23/11/2025           6198.700     75 
17642315    JUAN SILVA FLORES             Protecta Security   ABG650       02/10/2023             26/09/2024           6739.860     48 
30469651    LUCIA HERRERA RAMIREZ         Mapfre Peru         WEY688       24/02/2022             08/02/2025           6539.800     28 
96660246    RAUL DIAZ VEGA                Interseguro         MSB339       18/06/2023             02/06/2026           8425.170     68 
70523435    LUIS ROJAS ROJAS              La Positiva         FML947       23/03/2025             18/03/2026           8306.350     65 
60532509    SILVIA ROJAS AGUILAR          Protecta Security   LUQ897       31/10/2022             29/04/2023           13142.860    46 
92383435    LUIS RODRIGUEZ ORTIZ          Insur Vida          CHR264       31/05/2026             27/11/2026           5902.890     62 
72022026    CLAUDIA MENDOZA VEGA          Sanitas Peru        XPV694       19/04/2026             08/04/2028           7015.670     39 
84258532    LUCIA CHAVEZ CHAVEZ           Rimac Seguros       UQL754       31/05/2023             25/05/2024           8372.220     62 
75102056    RICARDO HERRERA HERRERA       Protecta Security   CMK767       06/01/2025             27/12/2026           524.300      75 
84878178    SOFIA GONZALEZ CHAVEZ         Mapfre Peru         CXL243       07/11/2024             23/10/2027           12898.510    69 
99410687    DIEGO NUNEZ GARCIA            La Positiva         QYX977       14/04/2023             11/10/2023           6101.900     65 
69336567    RAUL REYES ORTIZ              Protecta Security   ARG371       11/06/2025             01/06/2027           9319.280     49 
80979977    LUCIA VEGA RAMIREZ            Insur Vida          RJW178       21/02/2025             06/02/2028           14084.560    40 
45730973    BEATRIZ AGUILAR GARCIA        Mapfre Peru         EVP751       12/10/2023             06/10/2024           10584.040    66 
40540485    JOSE MARTINEZ FLORES          La Positiva         WQB618       22/03/2023             11/03/2025           9795.860     53 
73258823    PEDRO HERRERA ORTIZ           La Positiva         UCJ565       02/03/2023             25/02/2024           8441.060     65 
48542944    ANDRES GONZALEZ SANCHEZ       Mapfre Peru         TCL200       23/10/2023             17/10/2024           3508.190     21 
99186030    LUCIA MEDINA AGUILAR          Protecta Security   RPT664       09/12/2023             06/06/2024           11548.750    59 
44490049    JUAN FLORES RAMIREZ           Mapfre Peru         AKA754       14/09/2024             13/03/2025           1334.990     60 
92282723    ROSA ORTIZ SILVA              Interseguro         YJN489       01/08/2026             16/07/2029           3413.110     74 
45428791    FERNANDO MENDOZA GARCIA       Protecta Security   FIT988       11/04/2023             26/03/2026           14378.840    68 
