NOMBRE Y APELLIDOS            EDAD    ESTADO           DIAS                     
--------------------------------------------------------------------------------
Gabriela Gomez Silva          58      Poliza vigente   89 dias para vencer
Miguel Vargas Cruz            51      Poliza vencida   487 dias vencida
Pedro Flores Ramirez          42      Poliza vencida   211 dias vencida
Fernando Rojas Vega           26      Poliza vencida   551 dias vencida
Luis Sanchez Perez            47      Poliza vencida   241 dias vencida
Ricardo Rivera Gomez          67      Poliza vigente   409 dias para vencer
Carlos Ortiz Reyes            70      Poliza vencida   828 dias vencida
Carmen Ortiz Reyes            19      Poliza vencida   882 dias vencida
Carmen Ramirez Jimenez        60      Poliza vigente   892 dias para vencer
Gabriela Ramirez Martinez     38      Poliza vigente   970 dias para vencer
Patricia Perez Ramirez        44      Poliza vencida   1038 dias vencida
Carlos Rivera Castillo        35      Poliza vencida   586 dias vencida
Juan Sanchez Ramirez          70      Poliza vencida   214 dias vencida
Claudia Perez Castillo        37      Poliza vencida   770 dias vencida
Teresa Reyes Silva            46      Poliza vigente   834 dias para vencer
Fernando Torres Flores        23      Poliza vigente   275 dias para vencer
Sofia Silva Vega              25      Poliza vigente   611 dias para vencer
Carlos Ortiz Rojas            75      Poliza vencida   35 dias vencida
Pedro Rodriguez Castillo      45      Poliza vencida   1335 dias vencida
Alberto Sanchez Diaz          74      Poliza vigente   501 dias para vencer
Claudia Diaz Gonzalez         72      Poliza vencida   901 dias vencida
Beatriz Lopez Ramirez         52      Poliza vencida   1259 dias vencida
Elena Sanchez Vargas          45      Poliza vencida   1167 dias vencida
Juan Ramirez Vega             18      Poliza vencida   1382 dias vencida
Luis Sanchez Garcia           50      Poliza vigente   523 dias para vencer
Fernando Reyes Garcia         35      Poliza vigente   1052 dias para vencer
Jose Aguilar Nunez            39      Poliza vencida   1092 dias vencida
Juan Rojas Reyes              53      Poliza vencida   1238 dias vencida
Alberto Reyes Ortiz           74      Poliza vencida   875 dias vencida
Silvia Morales Rojas          61      Poliza vencida   33 dias vencida
Diego Diaz Ortiz              48      Poliza vencida   511 dias vencida
Carlos Mendoza Garcia         49      Poliza vencida   139 dias vencida
Carlos Medina Rojas           45      Poliza vencida   81 dias vencida
Carlos Nunez Morales          46      Poliza vigente   732 dias para vencer
Gabriela Nunez Garcia         55      Poliza vencida   105 dias vencida
Raul Medina Ramirez           58      Poliza vigente   63 dias para vencer
Alberto Rodriguez Diaz        50      Poliza vigente   373 dias para vencer
Sofia Chavez Ortiz            49      Poliza vencida   554 dias vencida
Gabriela Vargas Aguilar       43      Poliza vigente   612 dias para vencer
Andres Vargas Rodriguez       55      Poliza vencida   906 dias vencida
Alberto Silva Diaz            51      Poliza vencida   759 dias vencida
Alberto Nunez Reyes           23      Poliza vigente   520 dias para vencer
Silvia Herrera Lopez          23      Poliza vigente   710 dias para vencer
Sofia Chavez Torres           39      Poliza vencida   49 dias vencida
Juan Torres Martinez          20      Poliza vigente   127 dias para vencer
Carmen Diaz Rodriguez         18      Poliza vigente   568 dias para vencer
Maria Jimenez Reyes           54      Poliza vigente   200 dias para vencer
Rosa Gomez Gonzalez           55      Poliza vencida   458 dias vencida
Teresa Mendoza Ortiz          55      Poliza vigente   429 dias para vencer
Diego Castillo Lopez          51      Poliza vigente   106 dias para vencer
Patricia Ramirez Torres       33      Poliza vencida   562 dias vencida
Carmen Perez Medina           24      Poliza vencida   1143 dias vencida
Juan Rivera Silva             41      Poliza vencida   186 dias vencida
Diego Rojas Silva             41      Poliza vencida   1328 dias vencida
Juan Morales Ruiz             66      Poliza vigente   350 dias para vencer
Alberto Herrera Morales       37      Poliza vencida   831 dias vencida
Victor Rodriguez Chavez       65      Poliza vencida   583 dias vencida
Alberto Castillo Chavez       43      Poliza vigente   710 dias para vencer
Beatriz Rivera Martinez       31      Poliza vigente   329 dias para vencer
Teresa Castillo Gomez         40      Poliza vigente   184 dias para vencer
Alberto Nunez Jimenez         50      Poliza vencida   313 dias vencida
Diego Sanchez Nunez           50      Poliza vencida   1131 dias vencida
Lucia Morales Garcia          39      Poliza vencida   237 dias vencida
Luis Reyes Diaz               66      Poliza vencida   646 dias vencida
Luis Mendoza Chavez           62      Poliza vencida   1247 dias vencida
Carlos Ramirez Jimenez        56      Poliza vencida   826 dias vencida
Ana Morales Perez             51      Poliza vencida   62 dias vencida
Beatriz Jimenez Vargas        25      Poliza vigente   551 dias para vencer
Juan Torres Perez             65      Poliza vencida   623 dias vencida
Silvia Ortiz Rodriguez        57      Poliza vencida   61 dias vencida
Gabriela Flores Vega          48      Poliza vigente   43 dias para vencer
Lucia Rodriguez Lopez         39      Poliza vencida   1170 dias vencida
Fernando Gonzalez Cruz        52      Poliza vencida   290 dias vencida
Ana Silva Castillo            19      Poliza vigente   602 dias para vencer
Miguel Vega Silva             45      Poliza vencida   874 dias vencida
Miguel Rojas Vargas           68      Poliza vencida   1322 dias vencida
Patricia Castillo Herrera     30      Poliza vigente   1031 dias para vencer
Fernando Ortiz Nunez          66      Poliza vigente   473 dias para vencer
Monica Ortiz Chavez           42      Poliza vencida   1156 dias vencida
Pedro Rojas Vargas            72      Poliza vencida   747 dias vencida
Ricardo Jimenez Diaz          37      Poliza vencida   234 dias vencida
Teresa Ruiz Herrera           62      Poliza vigente   337 dias para vencer
Jorge Ortiz Castillo          72      Poliza vigente   62 dias para vencer
Gabriela Rivera Torres        62      Poliza vencida   128 dias vencida
Teresa Silva Mendoza          31      Poliza vencida   352 dias vencida
Victor Vargas Gonzalez        41      Poliza vencida   1141 dias vencida
Pedro Cruz Ortiz              37      Poliza vencida   207 dias vencida
Sofia Perez Silva             23      Poliza vigente   475 dias para vencer
